session_code_n,id_in_group,round_number,color_n,score,actionType_n,new_color_n,delete_player_n,add_player_n,linked_neighbors,graph_size,hist_color,hist_neighbor,hist_skip,num_of_neighbor
1,1,1,3,0,0,0,996,996,"2,3,4,13,14,15",15,0.0,0.0,0.0,6
1,2,1,3,0,0,1,996,996,"1,3,4,5,14,15",15,0.0,0.0,0.0,6
1,3,1,3,0,0,0,996,996,"1,2,4,5,6,15",15,0.0,0.0,0.0,6
1,4,1,3,0,0,1,996,996,"1,2,3,5,6,7",15,0.0,0.0,0.0,6
1,5,1,3,0,0,1,996,996,"2,3,4,6,7,8",15,0.0,0.0,0.0,6
1,6,1,3,0,1,996,996,996,"3,4,5,7,8,9",15,0.0,0.0,0.0,6
1,7,1,3,0,0,0,996,996,"4,5,6,8,9,10",15,0.0,0.0,0.0,6
1,8,1,3,0,0,0,996,996,"5,6,7,9,10,11",15,0.0,0.0,0.0,6
1,9,1,3,0,0,1,996,996,"6,7,8,10,11,12",15,0.0,0.0,0.0,6
1,10,1,3,0,0,0,996,996,"7,8,9,11,12,13",15,0.0,0.0,0.0,6
1,11,1,3,0,0,0,996,996,"8,9,10,12,13,14",15,0.0,0.0,0.0,6
1,12,1,3,0,0,0,996,996,"9,10,11,13,14,15",15,0.0,0.0,0.0,6
1,13,1,3,0,0,1,996,996,"1,10,11,12,14,15",15,0.0,0.0,0.0,6
1,14,1,3,0,0,1,996,996,"1,2,11,12,13,15",15,0.0,0.0,0.0,6
1,15,1,3,0,0,1,996,996,"1,2,3,12,13,14",15,0.0,0.0,0.0,6
1,1,2,0,83,2,996,3,6,"2,3,4,13,14,15",15,1.0,0.0,0.0,6
1,2,2,1,33,0,2,996,996,"1,3,4,5,14,15",15,1.0,0.0,0.0,6
1,3,2,0,83,1,996,996,996,"1,2,4,5,6,15",15,1.0,0.0,0.0,6
1,4,2,1,67,0,2,996,996,"1,2,3,5,6,7",15,1.0,0.0,0.0,6
1,5,2,1,67,0,2,996,996,"2,3,4,6,7,8",15,1.0,0.0,0.0,6
1,6,2,3,100,1,996,996,996,"3,4,5,7,8,9",15,0.0,0.0,1.0,6
1,7,2,0,67,1,996,996,996,"4,5,6,8,9,10",15,1.0,0.0,0.0,6
1,8,2,0,50,2,996,5,2,"5,6,7,9,10,11",15,1.0,0.0,0.0,6
1,9,2,1,100,1,996,996,996,"6,7,8,10,11,12",15,1.0,0.0,0.0,6
